Farm_ID,Farmer_ID,Farm_Location,Farm_Size,Irrigation_Type,Crop_Type,Has_IoT_Sensors,Soil_Quality,Access_to_Market,Pest_Incidence,Weather_Anomalies,Proximity_to_Roads
FARM_a7e774,FARMER_020,Bauchi,2.98,Drip,Livestock Farming,False,Poor,Poor,High,Rare,Close
FARM_4cca75,FARMER_021,Niger,3.47,Sprinkler,Crop Farming,False,Fair,Poor,High,Rare,Close
FARM_657816,FARMER_022,Ondo,4.52,Manual,Crop Farming,True,Fair,Good,Moderate,Frequent,Close
FARM_585817,FARMER_023,Ebonyi,3.96,Sprinkler,Crop Farming,True,Fair,Poor,High,None,Far
FARM_5281e5,FARMER_024,Kano,2.85,Drip,Livestock Farming,False,Good,Poor,Moderate,None,Far
FARM_0863a6,FARMER_025,Ondo,4.94,Sprinkler,Mixed Farming,False,Poor,Poor,Low,None,Close
FARM_f8ffc2,FARMER_026,Kebbi,2.83,Sprinkler,Crop Farming,False,Good,Good,Moderate,Frequent,Far
FARM_c686ac,FARMER_027,Benue,1.45,None,Crop Farming,True,Fair,Good,High,Rare,Far
FARM_faff45,FARMER_028,Plateau,4.97,None,Livestock Farming,True,Poor,Poor,Low,Rare,Close
FARM_33866b,FARMER_029,Niger,1.09,Manual,Livestock Farming,True,Fair,Poor,High,None,Close
FARM_546e27,FARMER_030,Osun,3.2,Sprinkler,Livestock Farming,False,Poor,Poor,High,Rare,Close
FARM_a310bd,FARMER_031,Ondo,2.24,Manual,Mixed Farming,False,Good,Good,Low,Rare,Far
FARM_5670a3,FARMER_032,Plateau,3.01,Sprinkler,Crop Farming,False,Good,Poor,High,Rare,Close
FARM_441199,FARMER_033,Plateau,3.23,Manual,Livestock Farming,True,Good,Poor,Moderate,None,Close
FARM_823274,FARMER_034,Katsina,1.96,Manual,Livestock Farming,True,Good,Poor,Low,Rare,Far
FARM_623a39,FARMER_035,Plateau,3.23,Sprinkler,Crop Farming,True,Good,Good,Low,Rare,Close
FARM_d17875,FARMER_036,Kebbi,4.02,None,Crop Farming,False,Poor,Poor,Low,Frequent,Far
FARM_b4be42,FARMER_037,Katsina,2.07,Drip,Livestock Farming,True,Poor,Poor,High,None,Far
FARM_713889,FARMER_038,Oyo,2.53,Manual,Mixed Farming,False,Fair,Good,High,Rare,Close
FARM_72df50,FARMER_039,Plateau,2.07,Drip,Mixed Farming,True,Poor,Poor,Low,None,Close
FARM_a390eb,FARMER_040,Oyo,4.28,Sprinkler,Livestock Farming,False,Fair,Poor,Moderate,Rare,Close
FARM_01d074,FARMER_041,Oyo,3.9,Manual,Livestock Farming,False,Good,Poor,High,None,Close
FARM_3c6954,FARMER_042,Plateau,4.48,Sprinkler,Crop Farming,True,Poor,Good,High,Rare,Far
FARM_12b17b,FARMER_043,Plateau,1.68,Manual,Mixed Farming,False,Poor,Good,High,Rare,Close
FARM_e4fdf8,FARMER_044,Bauchi,1.29,None,Mixed Farming,False,Good,Poor,Moderate,Frequent,Close
FARM_17f98d,FARMER_045,Kano,1.48,Manual,Mixed Farming,True,Good,Good,High,None,Far
FARM_0e179f,FARMER_046,Katsina,1.64,Manual,Livestock Farming,False,Good,Poor,High,Rare,Close
FARM_cff532,FARMER_047,Kaduna,3.13,Manual,Livestock Farming,False,Fair,Poor,Moderate,Frequent,Close
FARM_7df919,FARMER_048,Cross River,4.88,Sprinkler,Livestock Farming,False,Fair,Good,Moderate,Frequent,Far
FARM_ce1372,FARMER_049,Kebbi,2.43,None,Livestock Farming,False,Poor,Good,High,None,Close
FARM_4c7837,FARMER_050,Ondo,4.83,Sprinkler,Crop Farming,True,Good,Good,Low,None,Far
FARM_a524de,FARMER_051,Ebonyi,1.15,Drip,Mixed Farming,False,Poor,Poor,Low,Frequent,Close
FARM_359d1e,FARMER_052,Plateau,4.71,None,Livestock Farming,False,Good,Poor,Moderate,None,Close
FARM_bfa032,FARMER_053,Ondo,1.72,Manual,Livestock Farming,False,Good,Poor,High,None,Far
FARM_d25c04,FARMER_054,Oyo,4.65,Manual,Mixed Farming,False,Good,Poor,Moderate,None,Far
FARM_6afb5b,FARMER_055,Ondo,1.22,Manual,Livestock Farming,True,Good,Good,Moderate,Rare,Close
FARM_276d50,FARMER_056,Cross River,4.79,Drip,Livestock Farming,False,Good,Poor,Low,None,Close
FARM_b383c8,FARMER_057,Ondo,1.8,Drip,Mixed Farming,False,Fair,Good,Moderate,None,Far
FARM_c4957d,FARMER_058,Oyo,2.21,Manual,Mixed Farming,False,Poor,Poor,Moderate,Frequent,Close
FARM_a64f71,FARMER_059,Bauchi,2.96,Manual,Mixed Farming,False,Good,Poor,High,Frequent,Close
FARM_c159ba,FARMER_060,Cross River,2.52,Drip,Livestock Farming,False,Fair,Good,High,Frequent,Close
FARM_934d44,FARMER_061,Benue,3.67,Sprinkler,Livestock Farming,True,Fair,Good,Moderate,None,Close
FARM_c7998f,FARMER_062,Niger,4.9,None,Mixed Farming,False,Good,Poor,Moderate,None,Close
FARM_be7ba5,FARMER_063,Ondo,3.43,None,Livestock Farming,False,Good,Good,High,Frequent,Close
FARM_36bcc0,FARMER_064,Kano,3.89,Drip,Livestock Farming,True,Fair,Poor,Low,Frequent,Far
FARM_27b4ed,FARMER_065,Ebonyi,1.35,Drip,Mixed Farming,False,Good,Poor,High,Rare,Close
FARM_3573ac,FARMER_066,Ondo,3.51,Sprinkler,Livestock Farming,False,Fair,Poor,High,Rare,Close
FARM_9f37f9,FARMER_067,Bauchi,2.82,Manual,Crop Farming,False,Good,Poor,High,Rare,Close
FARM_a17930,FARMER_068,Niger,4.54,Drip,Livestock Farming,False,Fair,Good,High,None,Close
FARM_e52e43,FARMER_069,Benue,2.55,Sprinkler,Livestock Farming,False,Good,Good,High,None,Far
FARM_508820,FARMER_070,Taraba,3.72,Drip,Livestock Farming,True,Fair,Good,Low,Frequent,Close
FARM_312307,FARMER_071,Ondo,1.91,Manual,Mixed Farming,True,Poor,Good,High,Rare,Close
FARM_65bfce,FARMER_072,Ebonyi,2.04,Drip,Crop Farming,False,Good,Poor,High,None,Close
FARM_38a9ce,FARMER_073,Katsina,2.5,Manual,Crop Farming,True,Good,Poor,Low,Rare,Far
FARM_c036ca,FARMER_074,Ondo,2.22,Sprinkler,Livestock Farming,False,Fair,Good,Moderate,Rare,Close
FARM_114386,FARMER_075,Osun,2.02,None,Mixed Farming,True,Good,Good,Low,None,Close
FARM_e5fa08,FARMER_076,Cross River,1.2,Sprinkler,Mixed Farming,False,Poor,Good,High,Rare,Far
FARM_99512e,FARMER_077,Oyo,4.35,None,Crop Farming,False,Poor,Poor,Moderate,Frequent,Far
FARM_f84085,FARMER_078,Kano,1.26,Sprinkler,Livestock Farming,False,Fair,Good,Low,Frequent,Far
FARM_ddc5ee,FARMER_079,Osun,4.55,None,Livestock Farming,True,Fair,Poor,Moderate,None,Far
FARM_84cd4e,FARMER_080,Benue,1.5,Sprinkler,Mixed Farming,True,Good,Good,Low,Rare,Far
FARM_741775,FARMER_081,Osun,1.26,Manual,Crop Farming,False,Fair,Good,Low,Frequent,Close
FARM_23e27b,FARMER_082,Plateau,3.25,None,Mixed Farming,False,Poor,Poor,Moderate,Rare,Close
FARM_623c5b,FARMER_083,Oyo,3.01,None,Crop Farming,True,Poor,Poor,Moderate,Frequent,Close
FARM_a49011,FARMER_084,Katsina,2.96,Manual,Crop Farming,True,Good,Good,Moderate,Frequent,Far
FARM_5eb03a,FARMER_085,Ondo,3.3,Manual,Crop Farming,False,Poor,Good,Moderate,Rare,Far
FARM_8cb435,FARMER_086,Ebonyi,2.15,None,Livestock Farming,True,Fair,Poor,High,None,Close
FARM_487ece,FARMER_087,Benue,3.65,None,Mixed Farming,True,Good,Poor,Low,None,Far
FARM_4abf6d,FARMER_088,Plateau,3.01,None,Crop Farming,True,Good,Poor,High,None,Far
FARM_57b17c,FARMER_089,Plateau,2.34,Drip,Crop Farming,False,Good,Poor,Low,Rare,Far
FARM_c14a8e,FARMER_090,Bauchi,4.31,Sprinkler,Crop Farming,False,Fair,Poor,High,Rare,Close
FARM_a604d0,FARMER_091,Niger,3.91,Manual,Crop Farming,False,Good,Good,High,Rare,Far
FARM_be1e09,FARMER_092,Sokoto,2.57,Manual,Mixed Farming,True,Good,Poor,Low,None,Close
FARM_138110,FARMER_093,Benue,4.39,Sprinkler,Crop Farming,False,Poor,Good,High,Rare,Close
FARM_4b05a8,FARMER_094,Katsina,4.68,Manual,Livestock Farming,True,Poor,Poor,Moderate,None,Far
FARM_146897,FARMER_095,Osun,3.15,Manual,Crop Farming,False,Good,Poor,Moderate,Frequent,Close
FARM_3b7dd3,FARMER_096,Cross River,1.86,None,Livestock Farming,True,Fair,Good,High,None,Far
FARM_e396e5,FARMER_097,Sokoto,4.66,Manual,Livestock Farming,True,Fair,Good,High,None,Far
FARM_1f5234,FARMER_098,Niger,1.76,Drip,Livestock Farming,False,Fair,Poor,Low,None,Close
FARM_fcdab2,FARMER_099,Ebonyi,1.19,Drip,Livestock Farming,False,Fair,Poor,Low,Rare,Far
FARM_1829c5,FARMER_100,Cross River,2.31,None,Mixed Farming,False,Poor,Poor,High,None,Close
FARM_db6da6,FARMER_101,Kaduna,3.91,None,Livestock Farming,False,Fair,Good,Low,Frequent,Far
FARM_d4439b,FARMER_102,Niger,4.69,Manual,Crop Farming,False,Fair,Good,Moderate,Frequent,Close
FARM_94fdc5,FARMER_103,Bauchi,3.55,None,Livestock Farming,False,Good,Poor,Moderate,Frequent,Close
FARM_e86188,FARMER_104,Oyo,4.81,None,Mixed Farming,True,Fair,Good,Moderate,Frequent,Far
FARM_9df5e9,FARMER_105,Sokoto,1.37,Sprinkler,Mixed Farming,False,Fair,Poor,Low,Frequent,Close
FARM_70572e,FARMER_106,Bauchi,1.24,None,Crop Farming,False,Fair,Good,Low,Frequent,Close
FARM_6ac9a5,FARMER_107,Sokoto,3.42,Drip,Livestock Farming,False,Fair,Poor,Low,None,Close
FARM_032831,FARMER_108,Katsina,4.86,Manual,Mixed Farming,False,Poor,Poor,Low,Rare,Far
FARM_25526f,FARMER_109,Kaduna,3.01,None,Livestock Farming,False,Good,Poor,High,Rare,Close
FARM_cbb266,FARMER_110,Oyo,1.21,Sprinkler,Crop Farming,False,Poor,Good,High,Frequent,Far
FARM_d8b3f1,FARMER_111,Oyo,1.88,Manual,Mixed Farming,False,Good,Poor,High,None,Far
FARM_3813bb,FARMER_112,Bauchi,1.98,Manual,Crop Farming,False,Good,Poor,High,Frequent,Close
FARM_1443cf,FARMER_113,Taraba,2.35,Manual,Mixed Farming,False,Good,Good,Moderate,Frequent,Far
FARM_72bb15,FARMER_114,Cross River,1.17,Sprinkler,Mixed Farming,False,Good,Good,Low,Frequent,Far
FARM_4ac374,FARMER_115,Bauchi,4.62,Drip,Crop Farming,True,Poor,Poor,Moderate,Frequent,Close
FARM_c93f73,FARMER_116,Taraba,3.06,Sprinkler,Crop Farming,False,Good,Poor,Low,Rare,Far
FARM_56a819,FARMER_117,Kano,3.68,Sprinkler,Crop Farming,False,Fair,Poor,High,Rare,Far
FARM_816570,FARMER_118,Kaduna,1.27,Manual,Livestock Farming,False,Fair,Poor,Moderate,None,Far
FARM_349163,FARMER_119,Katsina,1.22,Sprinkler,Mixed Farming,False,Good,Good,Low,None,Close
FARM_c6881c,FARMER_120,Ebonyi,3.35,Manual,Crop Farming,False,Fair,Poor,High,Frequent,Far
FARM_f73a13,FARMER_121,Kaduna,4.55,None,Crop Farming,True,Fair,Good,Low,Rare,Close
FARM_f03b69,FARMER_122,Kaduna,3.11,None,Livestock Farming,False,Good,Poor,Low,Frequent,Close
FARM_cecb2d,FARMER_123,Ondo,4.51,Sprinkler,Crop Farming,False,Good,Poor,High,Rare,Close
FARM_784b27,FARMER_124,Kebbi,4.24,Drip,Livestock Farming,False,Good,Poor,Moderate,Rare,Close
FARM_760b0e,FARMER_125,Benue,1.3,Manual,Mixed Farming,True,Poor,Good,Low,None,Far
FARM_2d3a7a,FARMER_126,Niger,1.81,Sprinkler,Crop Farming,True,Good,Good,High,None,Close
FARM_b43073,FARMER_127,Bauchi,3.63,Sprinkler,Mixed Farming,False,Good,Good,Low,Rare,Far
FARM_64ad4e,FARMER_128,Benue,2.77,Drip,Livestock Farming,False,Poor,Poor,Low,None,Far
FARM_7bfb1f,FARMER_129,Bauchi,2.16,Manual,Mixed Farming,False,Fair,Good,Low,Frequent,Close
FARM_b5b026,FARMER_130,Osun,2.67,Sprinkler,Mixed Farming,False,Poor,Poor,Moderate,Rare,Close
FARM_85f035,FARMER_131,Niger,2.78,Drip,Mixed Farming,False,Fair,Poor,Moderate,Rare,Far
FARM_6fc235,FARMER_132,Ebonyi,4.64,Manual,Mixed Farming,False,Poor,Poor,Moderate,Rare,Close
FARM_e203cf,FARMER_133,Zamfara,1.41,None,Crop Farming,False,Good,Poor,Moderate,Frequent,Close
FARM_897663,FARMER_134,Benue,2.12,Drip,Mixed Farming,True,Poor,Poor,High,Rare,Close
FARM_e7d2f2,FARMER_135,Oyo,3.15,Sprinkler,Mixed Farming,True,Good,Poor,Moderate,None,Far
FARM_d546b3,FARMER_136,Cross River,3.79,None,Livestock Farming,False,Fair,Poor,Low,Frequent,Far
FARM_8fbc4f,FARMER_137,Kebbi,3.52,Manual,Livestock Farming,False,Good,Poor,High,Rare,Far
FARM_43606e,FARMER_138,Katsina,4.77,Drip,Livestock Farming,False,Poor,Good,Low,Frequent,Far
FARM_e76ae1,FARMER_139,Zamfara,4.18,None,Crop Farming,False,Poor,Poor,Moderate,Frequent,Close
FARM_3645a7,FARMER_140,Kaduna,3.23,None,Crop Farming,False,Fair,Good,Low,None,Far
FARM_42a3b8,FARMER_141,Katsina,1.86,Sprinkler,Crop Farming,False,Good,Poor,Low,None,Far
FARM_ab1c60,FARMER_142,Benue,2.8,None,Mixed Farming,False,Fair,Poor,Low,None,Far
FARM_0709f4,FARMER_143,Katsina,3.77,Sprinkler,Crop Farming,False,Good,Poor,Low,Rare,Far
FARM_43e8ad,FARMER_144,Plateau,4.35,Manual,Mixed Farming,False,Good,Poor,Moderate,Rare,Far
FARM_adf8cb,FARMER_145,Ondo,4.84,Sprinkler,Livestock Farming,False,Fair,Good,Low,None,Close
FARM_626041,FARMER_146,Zamfara,3.42,Drip,Mixed Farming,True,Fair,Good,Low,None,Far
FARM_628405,FARMER_147,Kano,3.11,None,Livestock Farming,True,Good,Good,Low,Rare,Close
FARM_18eb75,FARMER_148,Ebonyi,1.07,Manual,Crop Farming,True,Fair,Good,Low,None,Far
FARM_d090f4,FARMER_149,Bauchi,1.29,Sprinkler,Livestock Farming,True,Good,Good,Moderate,Frequent,Far
FARM_f0d927,FARMER_150,Kano,1.62,Sprinkler,Mixed Farming,False,Fair,Good,Low,Frequent,Close
FARM_51d63b,FARMER_151,Oyo,1.22,Sprinkler,Livestock Farming,True,Fair,Poor,High,Frequent,Far
FARM_573d86,FARMER_152,Niger,2.6,Manual,Livestock Farming,True,Fair,Poor,High,Rare,Close
FARM_f1cbff,FARMER_153,Niger,2.35,Manual,Mixed Farming,False,Poor,Good,Low,None,Far
FARM_518d76,FARMER_154,Kano,3.55,Drip,Mixed Farming,False,Fair,Good,Low,Frequent,Close
FARM_9f9e98,FARMER_155,Kebbi,3.14,Manual,Livestock Farming,False,Poor,Good,Moderate,Rare,Far
FARM_40c7b0,FARMER_156,Oyo,3.38,Sprinkler,Livestock Farming,True,Good,Poor,High,None,Close
FARM_fd7b70,FARMER_157,Ebonyi,2.89,Manual,Crop Farming,False,Good,Poor,Moderate,None,Far
FARM_6c4830,FARMER_158,Ebonyi,2.11,Sprinkler,Mixed Farming,True,Fair,Poor,Low,Frequent,Close
FARM_9ca2c2,FARMER_159,Osun,4.81,Drip,Mixed Farming,False,Poor,Poor,High,None,Far
FARM_be5305,FARMER_160,Benue,1.35,Drip,Mixed Farming,False,Good,Poor,High,None,Far
FARM_ca28bb,FARMER_161,Osun,4.76,Sprinkler,Crop Farming,False,Poor,Good,Moderate,Frequent,Close
FARM_e2daf0,FARMER_162,Ondo,2.24,Manual,Mixed Farming,True,Poor,Poor,Low,Frequent,Close
FARM_614669,FARMER_163,Zamfara,3.05,Manual,Crop Farming,False,Good,Good,High,None,Close
FARM_14e32c,FARMER_164,Kebbi,1.44,None,Livestock Farming,False,Poor,Poor,Moderate,Rare,Close
FARM_22a73e,FARMER_165,Niger,1.28,Drip,Crop Farming,True,Poor,Good,High,Rare,Far
FARM_25dc81,FARMER_166,Zamfara,2.72,Drip,Mixed Farming,True,Good,Poor,Low,Frequent,Close
FARM_0818b5,FARMER_167,Kebbi,3.97,Sprinkler,Livestock Farming,False,Fair,Poor,Low,None,Close
FARM_b2d144,FARMER_168,Bauchi,2.08,None,Livestock Farming,False,Fair,Poor,Low,Frequent,Far
FARM_5855fd,FARMER_169,Oyo,3.25,Manual,Mixed Farming,False,Poor,Poor,Moderate,Rare,Close
FARM_04c39f,FARMER_170,Plateau,2.11,Sprinkler,Livestock Farming,False,Fair,Poor,Low,Rare,Close
FARM_893699,FARMER_171,Ebonyi,2.55,Manual,Mixed Farming,False,Good,Good,Moderate,None,Close
FARM_1d6aed,FARMER_172,Kano,4.63,Manual,Mixed Farming,True,Good,Poor,High,Frequent,Far
FARM_696278,FARMER_173,Ondo,4.42,Manual,Mixed Farming,False,Good,Poor,Low,Frequent,Close
FARM_73f4cc,FARMER_174,Taraba,3.06,None,Crop Farming,False,Poor,Poor,Moderate,Rare,Far
FARM_736636,FARMER_175,Ondo,1.95,Drip,Mixed Farming,True,Good,Poor,Moderate,Frequent,Far
FARM_053461,FARMER_176,Niger,1.77,Drip,Livestock Farming,False,Poor,Poor,Moderate,Frequent,Far
FARM_a22de0,FARMER_177,Osun,4.82,Manual,Mixed Farming,True,Poor,Poor,Low,Frequent,Far
FARM_c2cc01,FARMER_178,Zamfara,1.81,None,Mixed Farming,False,Good,Poor,Moderate,None,Far
FARM_2f90e6,FARMER_179,Benue,4.23,Manual,Livestock Farming,True,Good,Poor,Low,Rare,Far
FARM_951870,FARMER_180,Benue,2.48,Manual,Mixed Farming,True,Poor,Poor,Low,Frequent,Close
FARM_a01b89,FARMER_181,Plateau,4.94,Sprinkler,Livestock Farming,True,Good,Good,High,None,Close
FARM_927300,FARMER_182,Ondo,2.47,None,Crop Farming,True,Fair,Good,High,Frequent,Close
FARM_060fe1,FARMER_183,Benue,2.41,None,Crop Farming,False,Poor,Poor,Low,Frequent,Far
FARM_d5f972,FARMER_184,Plateau,3.55,Drip,Mixed Farming,False,Poor,Poor,High,Rare,Close
FARM_a54a05,FARMER_185,Sokoto,4.85,Drip,Livestock Farming,False,Good,Poor,Moderate,None,Far
FARM_c35f29,FARMER_186,Kaduna,4.9,Manual,Mixed Farming,False,Good,Poor,Low,Frequent,Far
FARM_22f2de,FARMER_187,Taraba,3.83,Sprinkler,Crop Farming,False,Poor,Poor,High,Rare,Close
FARM_82403a,FARMER_188,Zamfara,4.02,Sprinkler,Livestock Farming,False,Poor,Good,Moderate,None,Close
FARM_efcb79,FARMER_189,Osun,3.25,Sprinkler,Mixed Farming,False,Poor,Poor,Low,Frequent,Close
FARM_23c46f,FARMER_190,Niger,4.02,Manual,Livestock Farming,False,Good,Good,Moderate,Rare,Close
FARM_92dd39,FARMER_191,Cross River,4.44,Drip,Crop Farming,True,Poor,Poor,Low,Frequent,Close
FARM_6ea4df,FARMER_192,Zamfara,2.94,None,Mixed Farming,False,Fair,Poor,High,Frequent,Far
FARM_ffc6f8,FARMER_193,Zamfara,3.48,Manual,Crop Farming,True,Fair,Poor,Moderate,None,Far
FARM_bf73be,FARMER_194,Oyo,3.15,Sprinkler,Mixed Farming,True,Good,Poor,High,Rare,Far
FARM_e8c48e,FARMER_195,Ondo,3.25,Sprinkler,Crop Farming,False,Poor,Good,Moderate,None,Close
FARM_bebf08,FARMER_196,Kebbi,4.56,Manual,Livestock Farming,False,Poor,Good,Moderate,Frequent,Far
FARM_27b970,FARMER_197,Oyo,2.42,Sprinkler,Mixed Farming,False,Fair,Good,Moderate,Rare,Close
FARM_80190a,FARMER_198,Zamfara,1.83,None,Mixed Farming,False,Poor,Good,Moderate,Frequent,Far
FARM_db1067,FARMER_199,Kaduna,2.83,Manual,Crop Farming,True,Good,Good,High,Frequent,Close
FARM_ddb209,FARMER_200,Cross River,1.83,None,Mixed Farming,False,Good,Poor,Moderate,Frequent,Far
FARM_4fc6ce,FARMER_201,Cross River,2.99,Drip,Crop Farming,False,Good,Poor,High,Rare,Far
FARM_f7be8a,FARMER_202,Niger,4.61,Sprinkler,Mixed Farming,False,Poor,Good,Moderate,Frequent,Far
FARM_0b7487,FARMER_203,Kaduna,3.47,Sprinkler,Mixed Farming,True,Poor,Poor,Low,Rare,Far
FARM_c8dea4,FARMER_204,Kaduna,4.42,Drip,Crop Farming,False,Fair,Poor,Low,Frequent,Close
FARM_c21616,FARMER_205,Sokoto,1.66,Drip,Crop Farming,False,Fair,Poor,Moderate,None,Far
FARM_d7c3b5,FARMER_206,Cross River,4.6,Drip,Mixed Farming,False,Good,Good,Low,Rare,Far
FARM_94478f,FARMER_207,Bauchi,3.41,Sprinkler,Mixed Farming,True,Poor,Good,Moderate,Frequent,Far
FARM_550b10,FARMER_208,Plateau,1.13,Drip,Crop Farming,True,Poor,Good,High,None,Far
FARM_e26cc7,FARMER_209,Kebbi,3.53,Manual,Crop Farming,True,Good,Good,Low,Rare,Far
FARM_0964b6,FARMER_210,Zamfara,4.81,Drip,Crop Farming,True,Good,Poor,Moderate,None,Close
FARM_965568,FARMER_211,Plateau,1.32,Manual,Livestock Farming,False,Fair,Poor,Moderate,Frequent,Far
FARM_8c4e37,FARMER_212,Kaduna,3.33,Manual,Mixed Farming,False,Fair,Poor,High,None,Far
FARM_39768d,FARMER_213,Ebonyi,4.66,None,Crop Farming,False,Good,Poor,High,Frequent,Far
FARM_3be12f,FARMER_214,Ebonyi,1.04,Manual,Crop Farming,False,Poor,Poor,Moderate,Frequent,Close
FARM_1594b0,FARMER_215,Taraba,3.52,Manual,Livestock Farming,True,Fair,Poor,Moderate,Rare,Far
FARM_e56879,FARMER_216,Cross River,2.9,Drip,Mixed Farming,False,Good,Good,Moderate,Frequent,Close
FARM_c05b2e,FARMER_217,Ondo,2.39,Sprinkler,Crop Farming,True,Poor,Poor,Moderate,Frequent,Far
FARM_88326b,FARMER_218,Sokoto,3.51,Drip,Mixed Farming,True,Good,Poor,Moderate,Rare,Close
FARM_bef41f,FARMER_219,Cross River,1.21,None,Mixed Farming,True,Poor,Poor,Moderate,Rare,Close
FARM_2afad4,FARMER_220,Kano,4.01,None,Mixed Farming,False,Fair,Poor,High,Frequent,Close
FARM_ceb933,FARMER_221,Kaduna,1.02,Sprinkler,Crop Farming,False,Poor,Poor,Low,Frequent,Close
FARM_64e3ae,FARMER_222,Plateau,2.23,Manual,Crop Farming,True,Poor,Good,Moderate,Rare,Close
FARM_0890ef,FARMER_223,Kano,3.02,None,Mixed Farming,False,Good,Poor,Moderate,Rare,Close
FARM_da0759,FARMER_224,Taraba,2.51,Sprinkler,Crop Farming,True,Poor,Poor,High,None,Far
FARM_73d033,FARMER_225,Kano,2.23,Drip,Livestock Farming,True,Fair,Good,Low,None,Far
FARM_568965,FARMER_226,Katsina,4.32,Drip,Mixed Farming,False,Good,Good,High,None,Close
FARM_725585,FARMER_227,Katsina,4.74,Drip,Mixed Farming,True,Good,Poor,High,Rare,Close
FARM_4f485c,FARMER_228,Sokoto,4.49,Manual,Livestock Farming,False,Good,Poor,Moderate,Rare,Far
FARM_6996fc,FARMER_229,Niger,3.09,Manual,Mixed Farming,False,Good,Good,Moderate,Rare,Close
FARM_cd5c7d,FARMER_230,Cross River,4.54,Sprinkler,Mixed Farming,True,Good,Poor,High,None,Far
FARM_fe3327,FARMER_231,Niger,4.68,None,Livestock Farming,True,Good,Good,Moderate,Frequent,Close
FARM_988200,FARMER_232,Zamfara,2.64,Drip,Mixed Farming,False,Good,Good,Moderate,Frequent,Far
FARM_86d1fd,FARMER_233,Oyo,2.13,Manual,Livestock Farming,True,Fair,Good,Moderate,Frequent,Close
FARM_3267fb,FARMER_234,Niger,1.39,Manual,Crop Farming,False,Fair,Poor,Low,Rare,Close
FARM_6f3ba4,FARMER_235,Katsina,2.92,None,Crop Farming,False,Good,Good,Low,Frequent,Far
FARM_1b193b,FARMER_236,Bauchi,4.79,Drip,Mixed Farming,False,Poor,Good,Moderate,Frequent,Far
FARM_4ffd69,FARMER_237,Benue,3.24,Drip,Crop Farming,False,Good,Poor,High,Rare,Close
FARM_29eef2,FARMER_238,Plateau,3.67,None,Mixed Farming,False,Good,Good,Low,Rare,Far
FARM_6cb2ae,FARMER_239,Katsina,1.45,Sprinkler,Crop Farming,True,Good,Good,High,Rare,Close
FARM_a2b97d,FARMER_240,Taraba,1.57,Sprinkler,Livestock Farming,True,Poor,Poor,Moderate,Rare,Close
FARM_797c10,FARMER_241,Niger,2.86,None,Livestock Farming,False,Fair,Poor,High,Rare,Close
FARM_ed4e67,FARMER_242,Kano,4.81,None,Mixed Farming,True,Poor,Poor,High,None,Close
FARM_52fd51,FARMER_243,Niger,2.44,Sprinkler,Mixed Farming,False,Poor,Poor,Low,Rare,Far
FARM_182dc0,FARMER_244,Sokoto,4.51,None,Mixed Farming,False,Poor,Poor,High,Frequent,Close
