Finance_ID,Farmer_ID,Loan_Purpose,Loan_Amount,Interest_Rate,Tenure_Months,Loan_Approval_Status,Repayment_Status,Credit Bureau Default_History,Source_of_Funding
LOAN_beae70,FARMER_119,Fertilizer,147550,19.47,24,Rejected,,False,Microfinance
LOAN_e278eb,FARMER_120,Fertilizer,354392,18.89,12,Rejected,,False,Government
LOAN_ca4bc4,FARMER_121,Labor,148572,21.96,24,Approved,Partially Paid,False,Government
LOAN_47a95a,FARMER_122,Fertilizer,429767,6.75,18,Approved,Partially Paid,True,Bank
LOAN_e28cc8,FARMER_123,Equipment,291964,12.54,24,Rejected,,False,NGO
LOAN_15154f,FARMER_124,Irrigation,337741,15.05,24,Approved,Fully Paid,False,Bank
LOAN_9835a4,FARMER_125,Land Expansion,148393,15.93,12,Approved,Partially Paid,False,NGO
LOAN_482035,FARMER_126,Fertilizer,84693,23.85,24,Rejected,,False,NGO
LOAN_4717fe,FARMER_127,Land Expansion,472247,5.85,24,Approved,Fully Paid,True,Bank
LOAN_885cb1,FARMER_128,Land Expansion,129147,22.33,18,Rejected,,True,Bank
LOAN_275787,FARMER_129,Irrigation,438097,16.04,6,Approved,Partially Paid,True,Bank
LOAN_9aa24b,FARMER_130,Fertilizer,407788,16.09,12,Approved,Partially Paid,False,NGO
LOAN_c55697,FARMER_131,Equipment,413695,11.41,12,Approved,Defaulted,False,Government
LOAN_84b281,FARMER_132,Fertilizer,329676,17.87,6,Rejected,,True,NGO
LOAN_dd98c1,FARMER_133,Land Expansion,310875,17.93,12,Approved,Partially Paid,False,Microfinance
LOAN_978580,FARMER_134,Labor,341542,8.79,18,Rejected,,False,Bank
LOAN_70f04b,FARMER_135,Irrigation,125330,18.54,24,Approved,Partially Paid,False,NGO
LOAN_6fecd0,FARMER_136,Equipment,254804,10.33,24,Approved,Fully Paid,False,NGO
LOAN_b6930b,FARMER_137,Equipment,440857,18.78,18,Rejected,,False,Government
LOAN_2d821f,FARMER_138,Land Expansion,404420,17.24,12,Rejected,,False,Bank
LOAN_aee7a1,FARMER_139,Equipment,216901,19.32,24,Approved,Fully Paid,True,Microfinance
LOAN_858a2f,FARMER_140,Land Expansion,427262,5.39,6,Approved,Partially Paid,False,Government
LOAN_6e3ed7,FARMER_141,Equipment,320159,7.51,24,Approved,Partially Paid,False,NGO
LOAN_c37e5c,FARMER_142,Equipment,61742,21.8,18,Approved,Fully Paid,True,NGO
LOAN_1af326,FARMER_143,Land Expansion,53542,12.61,24,Approved,Fully Paid,False,Microfinance
LOAN_6064ba,FARMER_144,Irrigation,182445,21.73,18,Approved,Partially Paid,False,NGO
LOAN_d0524c,FARMER_145,Equipment,382519,6.25,12,Approved,Fully Paid,False,NGO
LOAN_a65436,FARMER_146,Fertilizer,103331,20.39,6,Approved,Fully Paid,False,Bank
LOAN_a2970a,FARMER_147,Labor,372136,6.68,18,Approved,Defaulted,False,Government
LOAN_8eb5dc,FARMER_148,Land Expansion,127026,14.37,6,Approved,Fully Paid,False,Microfinance
LOAN_5d0561,FARMER_149,Equipment,296212,23.75,12,Approved,Defaulted,True,Bank
LOAN_ba8bb2,FARMER_150,Irrigation,473022,6.55,12,Approved,Fully Paid,False,Bank
LOAN_7ad36d,FARMER_151,Fertilizer,398078,12.01,18,Approved,Partially Paid,False,Government
LOAN_2acdf1,FARMER_152,Land Expansion,187121,15.37,24,Rejected,,False,Bank
LOAN_d4ee00,FARMER_153,Fertilizer,295259,22.99,6,Rejected,,False,NGO
LOAN_6f37fc,FARMER_154,Labor,203114,11.65,24,Approved,Defaulted,False,Microfinance
LOAN_cd2443,FARMER_155,Irrigation,486164,21.14,6,Rejected,,True,Bank
LOAN_c4ab46,FARMER_156,Land Expansion,337848,19.36,12,Approved,Partially Paid,True,Microfinance
LOAN_78f97c,FARMER_157,Land Expansion,75685,11.14,12,Rejected,,False,Microfinance
LOAN_b79b29,FARMER_158,Equipment,114451,11.82,12,Rejected,,False,Microfinance
LOAN_987584,FARMER_159,Fertilizer,101702,8.82,24,Approved,Fully Paid,False,NGO
LOAN_14a5f0,FARMER_160,Land Expansion,386377,18.86,12,Approved,Fully Paid,False,Microfinance
LOAN_3cf55c,FARMER_161,Fertilizer,89796,16.26,24,Rejected,,False,Government
LOAN_c7d67d,FARMER_162,Labor,337899,8.1,12,Approved,Partially Paid,False,Microfinance
LOAN_f577b5,FARMER_163,Equipment,440854,17.4,24,Rejected,,False,NGO
LOAN_3b8775,FARMER_164,Labor,214335,14.97,18,Approved,Partially Paid,False,NGO
LOAN_8008b6,FARMER_165,Equipment,415484,6.85,18,Rejected,,False,Government
LOAN_528efd,FARMER_166,Equipment,335665,24.07,6,Approved,Fully Paid,False,Government
LOAN_8f2729,FARMER_167,Fertilizer,378065,21.7,24,Rejected,,True,NGO
LOAN_87cf89,FARMER_168,Equipment,80344,6.42,24,Rejected,,False,NGO
LOAN_41d28f,FARMER_169,Labor,282990,23.63,18,Rejected,,False,Government
LOAN_f3e2dd,FARMER_170,Labor,349683,23.33,18,Approved,Partially Paid,False,NGO
LOAN_7fa8c4,FARMER_171,Labor,188352,5.84,18,Approved,Partially Paid,False,Bank
LOAN_5b2a93,FARMER_172,Fertilizer,199352,9.03,6,Approved,Defaulted,False,Microfinance
LOAN_060daa,FARMER_173,Fertilizer,209502,19.05,18,Approved,Fully Paid,False,NGO
LOAN_56f892,FARMER_174,Irrigation,237232,23.69,6,Rejected,,True,NGO
LOAN_ddc086,FARMER_175,Land Expansion,79594,21.46,6,Approved,Fully Paid,False,NGO
LOAN_746ea9,FARMER_176,Irrigation,277073,10.64,18,Approved,Fully Paid,False,Bank
LOAN_99bd96,FARMER_177,Irrigation,308248,5.67,18,Approved,Defaulted,False,Microfinance
LOAN_a5afbc,FARMER_178,Equipment,214650,14.46,18,Approved,Defaulted,False,Government
LOAN_9865e0,FARMER_179,Equipment,141514,6.84,24,Approved,Defaulted,False,Bank
LOAN_f7d1ef,FARMER_180,Irrigation,425296,9.91,12,Approved,Defaulted,True,Bank
LOAN_663ed0,FARMER_181,Land Expansion,53794,17.8,24,Approved,Fully Paid,False,Government
LOAN_b51fe8,FARMER_182,Irrigation,174168,14.9,6,Approved,Fully Paid,False,Government
LOAN_7f596d,FARMER_183,Fertilizer,251915,12.53,6,Approved,Fully Paid,False,NGO
LOAN_2687f9,FARMER_184,Labor,435921,23.6,12,Approved,Partially Paid,False,Government
LOAN_0765d4,FARMER_185,Irrigation,339124,8.86,12,Rejected,,False,Bank
LOAN_44b1f4,FARMER_186,Equipment,114752,14.75,18,Approved,Partially Paid,False,NGO
LOAN_5b9411,FARMER_187,Land Expansion,288784,16.47,24,Approved,Fully Paid,False,Government
LOAN_703561,FARMER_188,Equipment,317373,11.44,24,Approved,Fully Paid,False,Bank
LOAN_61a488,FARMER_189,Fertilizer,446171,19.11,24,Rejected,,False,Microfinance
LOAN_c9b58d,FARMER_190,Equipment,144134,22.35,12,Approved,Fully Paid,False,Government
LOAN_e28f2d,FARMER_191,Equipment,492329,15.83,24,Rejected,,True,Bank
LOAN_2bf9e5,FARMER_192,Land Expansion,315097,20.63,12,Approved,Partially Paid,True,NGO
LOAN_fc9ecd,FARMER_193,Land Expansion,285118,6.22,24,Approved,Fully Paid,True,Government
LOAN_795275,FARMER_194,Equipment,251792,8.08,12,Approved,Partially Paid,True,Government
LOAN_64c200,FARMER_195,Equipment,198544,14.24,24,Rejected,,False,NGO
LOAN_ed1c35,FARMER_196,Irrigation,324154,23.42,6,Approved,Fully Paid,False,NGO
LOAN_5be417,FARMER_197,Fertilizer,187310,15.63,12,Approved,Fully Paid,True,Bank
LOAN_55fa2a,FARMER_198,Irrigation,193818,13.65,18,Approved,Partially Paid,False,NGO
LOAN_869d77,FARMER_199,Land Expansion,358932,17.0,6,Approved,Fully Paid,False,Bank
LOAN_abdffe,FARMER_200,Irrigation,321909,7.49,6,Rejected,,True,Bank
LOAN_a5cdcc,FARMER_201,Irrigation,438977,18.07,12,Rejected,,True,NGO
LOAN_e6e8cb,FARMER_202,Equipment,460662,6.88,24,Approved,Fully Paid,True,Government
LOAN_0840a3,FARMER_203,Equipment,175076,16.54,24,Approved,Defaulted,True,NGO
LOAN_97493b,FARMER_204,Fertilizer,344563,19.29,12,Approved,Fully Paid,False,NGO
LOAN_85cbc1,FARMER_205,Labor,306365,13.23,24,Rejected,,True,Microfinance
LOAN_36fc2d,FARMER_206,Labor,80427,23.22,24,Approved,Fully Paid,False,Microfinance
LOAN_2d7026,FARMER_207,Irrigation,365847,8.04,24,Approved,Fully Paid,True,NGO
LOAN_aec519,FARMER_208,Fertilizer,250979,8.42,12,Approved,Defaulted,False,Government
LOAN_60e973,FARMER_209,Fertilizer,235898,15.34,12,Approved,Fully Paid,False,Government
LOAN_72fb1e,FARMER_210,Land Expansion,456765,23.63,18,Approved,Fully Paid,False,Bank
LOAN_af8d13,FARMER_211,Equipment,318692,12.81,24,Rejected,,False,NGO
LOAN_826688,FARMER_212,Land Expansion,213135,23.53,24,Rejected,,False,NGO
LOAN_30f5d5,FARMER_213,Labor,158138,18.87,12,Rejected,,False,Microfinance
LOAN_5c7293,FARMER_214,Fertilizer,235119,20.65,18,Approved,Fully Paid,False,Microfinance
LOAN_e47574,FARMER_215,Labor,384627,23.76,12,Approved,Fully Paid,False,Microfinance
LOAN_deba51,FARMER_216,Equipment,434616,16.45,12,Approved,Partially Paid,True,Bank
LOAN_a8358c,FARMER_217,Equipment,483220,17.83,18,Approved,Partially Paid,False,NGO
LOAN_90d919,FARMER_218,Equipment,350140,16.58,12,Approved,Partially Paid,False,Microfinance
LOAN_244057,FARMER_219,Labor,324611,20.7,6,Approved,Partially Paid,False,NGO
LOAN_7340ff,FARMER_220,Fertilizer,474067,10.47,18,Approved,Partially Paid,False,Bank
LOAN_41c146,FARMER_221,Land Expansion,280918,20.76,24,Approved,Fully Paid,True,Government
LOAN_9ff00f,FARMER_222,Fertilizer,82737,19.27,24,Approved,Defaulted,False,Bank
LOAN_f41aa3,FARMER_223,Fertilizer,282275,17.04,18,Rejected,,True,NGO
LOAN_737048,FARMER_224,Irrigation,142146,5.78,24,Approved,Defaulted,False,NGO
LOAN_9e9ee3,FARMER_225,Fertilizer,149782,20.49,6,Approved,Defaulted,False,NGO
LOAN_a8e095,FARMER_226,Land Expansion,403267,7.65,24,Approved,Partially Paid,True,Government
LOAN_4be6e1,FARMER_227,Irrigation,157927,24.24,18,Approved,Partially Paid,True,NGO
LOAN_962720,FARMER_228,Fertilizer,162276,6.63,12,Rejected,,False,Microfinance
LOAN_2beae7,FARMER_229,Irrigation,402712,19.41,18,Approved,Fully Paid,True,Government
LOAN_cee4c6,FARMER_230,Fertilizer,464610,12.21,18,Approved,Fully Paid,False,Government
LOAN_af7d04,FARMER_231,Equipment,487240,19.71,6,Approved,Fully Paid,True,Government
LOAN_277d73,FARMER_232,Equipment,332579,15.38,24,Approved,Defaulted,True,Bank
LOAN_b5e753,FARMER_233,Fertilizer,69960,17.59,18,Approved,Partially Paid,False,Bank
LOAN_2fc671,FARMER_234,Irrigation,205551,6.51,24,Approved,Fully Paid,True,Bank
LOAN_98d5ca,FARMER_235,Land Expansion,105805,24.33,12,Approved,Fully Paid,False,Government
LOAN_f436cf,FARMER_236,Equipment,147569,5.08,18,Rejected,,False,Government
LOAN_e1ffac,FARMER_237,Irrigation,232516,23.82,18,Approved,Fully Paid,False,NGO
LOAN_029c48,FARMER_238,Land Expansion,466805,16.37,24,Approved,Fully Paid,False,Government
LOAN_f9bf66,FARMER_239,Irrigation,411586,10.17,6,Approved,Fully Paid,False,Microfinance
LOAN_e6dd0c,FARMER_240,Fertilizer,429377,17.75,6,Approved,Defaulted,True,Bank
LOAN_3cf46c,FARMER_241,Equipment,321696,18.46,24,Rejected,,False,NGO
LOAN_66325d,FARMER_242,Equipment,130330,19.61,18,Approved,Fully Paid,False,Microfinance
LOAN_17d969,FARMER_243,Equipment,282566,5.33,12,Approved,Fully Paid,False,Microfinance
LOAN_14255c,FARMER_244,Fertilizer,467847,24.66,6,Approved,Fully Paid,False,Microfinance
LOAN_b87d39,FARMER_245,Land Expansion,267511,17.36,6,Approved,Defaulted,False,Government
LOAN_17fbf9,FARMER_246,Land Expansion,159687,12.55,12,Approved,Defaulted,False,Bank
LOAN_b39de7,FARMER_247,Equipment,95105,16.41,6,Rejected,,False,Microfinance
LOAN_644c3c,FARMER_248,Land Expansion,389308,8.57,24,Approved,Fully Paid,False,NGO
LOAN_17440e,FARMER_249,Equipment,81092,9.95,18,Approved,Fully Paid,False,Bank
LOAN_21eb8d,FARMER_250,Land Expansion,387831,6.72,6,Approved,Fully Paid,False,Bank
LOAN_162a68,FARMER_251,Equipment,473273,22.58,12,Approved,Defaulted,False,Government
LOAN_dd0099,FARMER_252,Land Expansion,420769,10.03,24,Approved,Fully Paid,True,Microfinance
LOAN_183429,FARMER_253,Irrigation,351103,19.79,24,Approved,Fully Paid,True,NGO
LOAN_190309,FARMER_254,Equipment,317909,10.48,24,Rejected,,False,Government
LOAN_aebab0,FARMER_255,Equipment,468029,7.92,24,Approved,Defaulted,False,Bank
LOAN_697505,FARMER_256,Labor,216879,7.16,18,Rejected,,True,Microfinance
LOAN_228f8f,FARMER_257,Equipment,229581,22.2,24,Approved,Fully Paid,False,Bank
LOAN_7d457b,FARMER_258,Land Expansion,107732,7.39,24,Approved,Fully Paid,False,Bank
LOAN_6b5f32,FARMER_259,Irrigation,471198,6.74,24,Approved,Fully Paid,False,Government
LOAN_b2c03c,FARMER_260,Irrigation,271868,5.19,12,Approved,Defaulted,False,NGO
LOAN_511fa4,FARMER_261,Land Expansion,135903,12.33,12,Rejected,,True,Microfinance
LOAN_8af8a9,FARMER_262,Fertilizer,115391,23.85,12,Approved,Fully Paid,True,Government
LOAN_ce417b,FARMER_263,Equipment,131552,23.17,12,Rejected,,True,NGO
LOAN_ef094f,FARMER_264,Irrigation,99338,7.3,6,Approved,Fully Paid,False,Government
LOAN_60747f,FARMER_265,Land Expansion,360391,5.25,24,Approved,Partially Paid,False,NGO
LOAN_abc4bf,FARMER_266,Irrigation,470535,20.02,6,Approved,Partially Paid,True,Bank
LOAN_63eb43,FARMER_267,Irrigation,118964,11.13,6,Approved,Partially Paid,True,Microfinance
LOAN_696de4,FARMER_268,Land Expansion,208058,21.69,6,Approved,Fully Paid,True,Microfinance
LOAN_d655f2,FARMER_269,Labor,418206,9.31,18,Approved,Partially Paid,False,Microfinance
LOAN_1955af,FARMER_270,Irrigation,208882,14.84,24,Approved,Fully Paid,False,Government
LOAN_d2f400,FARMER_271,Irrigation,211799,5.66,24,Rejected,,False,Government
LOAN_ef0ed6,FARMER_272,Fertilizer,151692,22.89,6,Rejected,,False,NGO
LOAN_751eea,FARMER_273,Labor,246451,8.56,12,Rejected,,False,Government
LOAN_921693,FARMER_274,Fertilizer,408426,10.89,18,Approved,Fully Paid,False,Bank
LOAN_741f8f,FARMER_275,Land Expansion,462534,14.59,6,Approved,Fully Paid,False,NGO
LOAN_4dabdb,FARMER_276,Equipment,112422,10.43,6,Approved,Fully Paid,False,Government
LOAN_f730e5,FARMER_277,Land Expansion,463971,5.8,18,Approved,Partially Paid,False,Microfinance
LOAN_53b14f,FARMER_278,Labor,390792,5.58,6,Approved,Partially Paid,False,Bank
LOAN_18b031,FARMER_279,Land Expansion,98069,24.1,24,Approved,Partially Paid,True,Microfinance
LOAN_002668,FARMER_280,Labor,98599,11.51,12,Approved,Fully Paid,False,NGO
LOAN_b990c4,FARMER_281,Fertilizer,268979,11.69,12,Approved,Fully Paid,False,NGO
LOAN_1acc13,FARMER_282,Irrigation,319003,23.46,12,Approved,Defaulted,False,Government
LOAN_991c8f,FARMER_283,Land Expansion,234193,21.72,12,Approved,Fully Paid,False,NGO
LOAN_a49d7b,FARMER_284,Land Expansion,78570,18.74,6,Approved,Fully Paid,False,NGO
LOAN_4b0540,FARMER_285,Irrigation,79148,18.17,12,Approved,Defaulted,True,Microfinance
LOAN_519c77,FARMER_286,Land Expansion,183823,21.02,6,Approved,Fully Paid,False,NGO
LOAN_ca501a,FARMER_287,Land Expansion,287549,8.38,24,Rejected,,True,Bank
LOAN_1d0efa,FARMER_288,Equipment,264567,18.29,6,Approved,Partially Paid,True,Government
LOAN_36a59c,FARMER_289,Equipment,187575,6.97,6,Rejected,,False,NGO
LOAN_6ff806,FARMER_290,Irrigation,297019,7.53,6,Rejected,,False,Bank
LOAN_ea8693,FARMER_291,Fertilizer,264048,9.86,18,Rejected,,False,Government
